Identifier,Evaluation,Tricked,2-Norm for Adv.-Image,Class,filename,match_count
BPDA,14611,True,11.72325611114502,292,Trivial Default.csv,
BPDA,13075,True,12.137606620788574,261,Trivial Default.csv,
BPDA,91,True,12.16789436340332,1,Trivial Default.csv,
BPDA,3993,True,12.170536041259766,79,Trivial Default.csv,
BPDA,25040,True,12.12967014312744,500,Trivial Default.csv,
BPDA,49943,True,11.70115089416504,998,Trivial Default.csv,
BPDA,42010,True,12.171306610107422,840,Trivial Default.csv,
BPDA,15923,True,12.15753936767578,318,Trivial Default.csv,
BPDA,26085,True,12.130587577819824,521,Trivial Default.csv,
AutoAttack,29785,True,9.318022727966309,595,Trivial Default.csv,
AutoAttack,46751,True,8.700413703918457,935,Trivial Default.csv,
AutoAttack,14162,True,9.095678329467772,283,Trivial Default.csv,
AutoAttack,30471,True,9.393425941467283,609,Trivial Default.csv,
AutoAttack,7337,True,9.382347106933594,146,Trivial Default.csv,
AutoAttack,49287,True,9.073555946350098,985,Trivial Default.csv,
AutoAttack,21678,True,9.54501247406006,433,Trivial Default.csv,
DIFGSM,31502,True,9.856793403625488,630,Trivial Default.csv,
DIFGSM,33014,True,9.928933143615724,660,Trivial Default.csv,
DIFGSM,34638,True,9.530527114868164,692,Trivial Default.csv,
DIFGSM,29785,True,10.037498474121094,595,Trivial Default.csv,
DIFGSM,21816,True,9.71828269958496,436,Trivial Default.csv,
DIFGSM,15664,True,9.716889381408691,313,Trivial Default.csv,
DIFGSM,46751,True,9.501842498779297,935,Trivial Default.csv,
DIFGSM,37438,True,9.46980094909668,748,Trivial Default.csv,
DIFGSM,21503,True,10.012028694152832,430,Trivial Default.csv,
DIFGSM,40603,True,9.126402854919434,812,Trivial Default.csv,
DIFGSM,34749,True,10.548969268798828,694,Trivial Default.csv,
DIFGSM,46520,True,10.100348472595217,930,Trivial Default.csv,
DIFGSM,22878,True,9.417170524597168,457,Trivial Default.csv,
DIFGSM,12766,True,9.690627098083496,255,Trivial Default.csv,
DIFGSM,14162,True,9.728748321533203,283,Trivial Default.csv,
DIFGSM,13665,True,9.550349235534668,273,Trivial Default.csv,
